generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
11,8,0.5714285714285714,0.01,81,64,0.4,0.3,0.3,64,32,16,8
11,9,0.6775956284153005,0.005677918413839926,79,32,0.4,0.3,0.2,64,32,16,8
11,10,0.5508982035928143,0.00995996161818699,76,32,0.3,0.0,0.2,64,32,16,8
11,11,0.5555555555555556,0.005132736375628385,76,16,0.4,0.3,0.3,64,32,16,8
11,12,0.7058823529411765,0.005677918413839926,70,32,0.3,0.3,0.0,64,32,16,8
11,13,0.3972602739726027,0.00037900586552769077,81,64,0.2,0.3,0.3,64,32,16,8
11,14,0.7085201793721974,0.0027313428542782552,81,64,0.1,0.3,0.3,64,32,16,8
11,15,0.7096774193548387,0.01,76,32,0.4,0.3,0.2,64,32,16,8
11,16,0.49056603773584906,0.01,75,32,0.4,0.3,0.3,64,32,16,8
11,17,0.5802469135802469,0.006172623777045459,76,32,0.4,0.3,0.2,64,32,16,8
11,18,0.7105263157894737,0.01,76,16,0.2,0.3,0.2,64,32,16,8
11,19,0.7272727272727272,0.005677918413839926,81,64,0.3,0.3,0.1,64,32,16,8
11,20,0.6153846153846153,0.00995996161818699,81,16,0.4,0.0,0.3,64,32,16,8
12,1,0.7870967741935484,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
12,2,0.7111111111111111,0.01,76,32,0.4,0.3,0.2,64,32,16,8
12,3,0.6804123711340206,0.007230835768740883,76,32,0.4,0.3,0.2,64,32,16,8
12,4,0.32592592592592595,0.01,76,64,0.4,0.2,0.2,64,32,16,8
12,5,0.7105263157894737,0.01,90,16,0.2,0.3,0.3,64,32,16,8
12,6,0.6984126984126984,0.005677918413839926,70,32,0.3,0.3,0.3,64,32,16,8
12,7,0.5901639344262294,0.005677918413839926,81,64,0.3,0.3,0.1,64,32,16,8
12,8,0.6931818181818182,0.005677918413839926,76,32,0.4,0.0,0.2,64,32,16,8
12,9,0.6025641025641025,0.00995996161818699,79,16,0.4,0.3,0.3,64,32,16,8
12,10,0.6912442396313365,0.01,70,32,0.3,0.3,0.1,64,32,16,8
12,11,0.7722772277227723,0.005677918413839926,84,64,0.3,0.3,0.0,64,32,16,8
12,12,0.770949720670391,0.005677918413839926,70,32,0.3,0.3,0.1,64,32,16,8
12,13,0.6436781609195402,0.005677918413839926,81,64,0.3,0.3,0.0,64,32,16,8
